t	p	T	az	ay	ax	gz	gy	gx	fs
57337	328717	25909	1982	-620	-951	-21451	-32768	32767	2
57380	328717	25915	2074	-1212	-2790	-28934	-26011	14427	2
57423	328717	25917	1764	-203	-1856	-17434	-3407	3522	2
57467	328717	25912	1748	-503	-1930	-7384	16069	-1970	2
57510	328717	25902	1949	160	-1806	-6725	32767	-5426	2
57553	328717	25890	1942	807	996	-15855	32767	2548	2
57597	328717	25888	1442	35	3242	-19719	2006	6710	2
57640	328717	25892	1118	-594	2690	-24933	-32768	-5419	2
57683	328717	25903	1591	209	-161	-27041	-32768	-25014	2
57727	328717	25906	2556	1514	-2473	-23665	-22578	-25355	2
57770	328717	25899	2209	163	-908	-7585	4898	-13495	2
57813	328717	25900	362	-476	-300	18052	9021	-17349	3
57856	328717	25906	-302	140	-358	26588	3475	-21433	3
57900	328717	25913	-307	302	-537	31817	-3329	-19017	3
57943	328717	25914	226	-65	-2597	32767	-105	-15968	6
