t	p	T	az	ay	ax	gz	gy	gx	fs
42613	328717	25940	-1938	-59	-314	-155	75	86	0
42646	328717	25940	-1944	-48	-321	-157	86	82	0
42678	328717	25940	-1938	-51	-312	-162	82	96	0
42710	328717	25942	-1948	-47	-324	-147	80	88	0
42743	328717	25940	-1934	-60	-314	-163	88	73	0
42775	328717	25940	-1953	-57	-307	-163	70	78	0
42807	328717	25940	-1939	-69	-319	-155	82	93	0
42840	328717	25939	-1951	-56	-324	-167	62	96	0
42872	328717	25940	-1947	-49	-310	-158	70	83	0
42904	328717	25940	-1943	-59	-320	-159	70	79	0
42937	328717	25938	-1934	-46	-313	-158	69	84	0
42969	328717	25940	-1937	-58	-314	-156	94	77	0
43001	328717	25939	-1933	-51	-308	-162	64	85	0
43034	328717	25940	-1944	-53	-316	-169	73	82	0
43066	328717	25940	-1938	-57	-330	-159	82	88	0
43098	328717	25941	-1951	-51	-324	-161	72	83	0
43131	328717	25941	-1942	-50	-317	-156	83	87	0
43163	328717	25941	-1938	-58	-322	-157	78	85	0
43195	328717	25940	-1942	-59	-320	-151	76	83	0
43228	328717	25940	-1936	-45	-317	-166	84	78	0
43260	328717	25942	-1948	-58	-323	-153	70	86	0
43292	328717	25940	-1941	-45	-320	-158	69	83	0
43325	328717	25940	-1939	-60	-331	-166	63	88	0
43357	328717	25940	-1945	-42	-314	-162	74	81	0
43389	328717	25939	-1943	-55	-318	-154	75	81	0
43422	328717	25940	-1938	-50	-324	-162	75	88	0
43454	328717	25941	-1936	-55	-311	-168	79	88	0
43486	328717	25941	-1938	-47	-337	-163	79	88	0
43519	328717	25941	-1951	-50	-315	-156	65	84	0
43551	328717	25940	-1952	-59	-309	-152	82	87	0
43583	328717	25941	-1943	-61	-323	-158	62	73	0
43616	328717	25941	-1945	-51	-311	-177	73	79	0
43648	328717	25940	-1941	-48	-291	-156	78	77	0
43680	328717	25942	-1932	-63	-313	-157	75	75	0
43713	328717	25942	-1946	-63	-312	-157	71	82	0
43745	328717	25942	-1951	-62	-328	-165	73	80	0
43777	328717	25941	-1946	-43	-319	-159	86	86	0
43810	328717	25940	-1934	-46	-301	-160	72	84	0
43842	328717	25941	-1939	-51	-307	-155	70	80	0
43874	328717	25943	-1935	-47	-315	-161	78	81	0
43907	328717	25940	-1939	-60	-331	-158	74	81	0
43939	328717	25940	-1940	-45	-313	-159	91	87	0
43971	328717	25941	-1936	-55	-288	-159	85	93	0
44004	328717	25943	-1945	-67	-317	-153	81	86	0
44036	328717	25942	-1942	-57	-329	-161	68	90	0
44068	328717	25940	-1948	-63	-322	-171	81	80	0
44101	328717	25940	-1934	-44	-314	-159	63	81	0
44133	328717	25941	-1929	-63	-315	-154	70	87	0
44165	328717	25941	-1945	-57	-323	-168	67	89	0
44198	328717	25942	-1945	-62	-317	-154	76	89	0
44230	328717	25942	-1947	-53	-336	-161	68	88	0
44262	328717	25942	-1951	-57	-313	-164	71	91	0
44295	328717	25940	-1942	-61	-326	-165	81	89	0
44327	328717	25943	-1942	-57	-316	-163	72	88	0
44359	328717	25942	-1938	-47	-307	-155	84	78	0
44392	328717	25944	-1953	-49	-319	-157	71	82	0
44424	328717	25942	-1941	-54	-325	-160	69	83	0
44456	328717	25940	-1942	-70	-331	-159	81	81	0
44489	328717	25941	-1940	-49	-317	-159	82	80	0
44521	328717	25940	-1941	-54	-329	-147	66	89	0
44553	328717	25943	-1942	-60	-310	-167	65	84	0
44586	328717	25942	-1957	-44	-323	-156	73	83	0
44618	328717	25943	-1938	-63	-313	-162	73	79	0
44650	328717	25942	-1940	-49	-316	-157	75	79	0
44683	328717	25943	-1946	-59	-304	-161	76	87	0
44715	328717	25940	-1936	-61	-318	-168	74	85	0
44747	328717	25942	-1928	-51	-320	-155	79	90	0
44780	328717	25942	-1945	-55	-301	-161	71	85	0
44812	328717	25942	-1930	-51	-288	-162	75	88	0
44844	328717	25943	-1949	-39	-322	-155	73	90	0
44877	328717	25942	-1944	-64	-294	-170	66	77	0
44909	328717	25942	-1933	-62	-313	-149	68	82	0
44941	328717	25942	-1948	-61	-308	-156	86	90	0
