t	p	T	az	ay	ax	gz	gy	gx	fs
186597	306013	28944	-919	17	-3	-22312	25	-70	2
186629	305982	28945	-898	15	7	-23163	-758	-743	2
186661	305948	28945	-885	13	-7	-24677	-812	-989	2
186692	305924	28945	-881	11	6	-24293	-1101	-1105	2
186724	305899	28944	-879	19	-10	-24416	-1042	-987	2
186756	305872	28944	-882	24	4	-24157	-1201	-749	2
186788	305820	28945	-871	28	16	-24658	-1062	-333	2
186820	305797	28944	-864	22	-1	-25463	-1032	961	2
186852	305748	28944	-834	20	-8	-26598	-1683	1271	2
186884	305707	28945	-829	18	-6	-27561	-1802	664	2
186915	305671	28945	-815	34	5	-27276	-792	-83	2
186997	305626	28944	-778	10	1	-23320	-456	22	2
187029	305594	28943	-778	54	-28	-26585	-846	-557	2
187061	305554	28941	-771	-38	-9	-28300	-1137	-738	2
187093	305521	28942	-750	23	-1	-27987	-1471	567	2
187125	305471	28940	-760	50	35	-27995	-1744	255	2
187157	305444	28938	-744	28	-1	-29688	-1871	-326	2
187189	305394	28938	-753	17	-4	-28186	-1780	-1087	2
187221	305364	28940	-709	45	2	-26432	-1090	-820	2
187252	305324	28941	-743	41	16	-31409	-186	781	2
187284	305314	28940	-702	-23	-18	-32269	-1098	1342	2
187316	305272	28944	-352	-70	-59	-32268	-1997	802	2
187348	305250	28943	-37	110	44	-32405	-1918	-96	2
187380	305230	28944	134	227	54	-32151	-654	-14	2
187412	305237	28946	192	-63	-40	-31521	-586	1000	2
187488	305180	28943	192	40	2	-30829	-1551	-191	2
187520	305147	28944	178	54	-4	-29439	-1239	-881	2
187552	305125	28943	202	2	-19	-28107	-785	-1068	2
187584	305088	28944	169	21	-6	-25627	-970	-679	2
187616	305053	28944	159	21	-10	-25303	-956	-434	2
187648	305005	28944	159	15	-10	-24554	-854	-20	2
187679	304972	28945	157	36	15	-24733	-989	-17	2
187711	304941	28943	158	32	-12	-24942	-996	-243	2
187743	304924	28943	139	38	-4	-25082	-804	-304	2
187775	304876	28943	155	27	-9	-25432	-555	464	2
187807	304844	28940	145	20	3	-25015	-617	1085	2
187839	304806	28941	141	35	6	-25162	-1045	943	2
187870	304769	28938	141	34	5	-24628	-1269	311	2
187902	304744	28940	140	33	4	-24546	-1040	-549	2
187934	304723	28940	130	25	-9	-24230	-1033	-993	2
187965	304691	28940	129	36	3	-23986	-758	-1042	2
187997	304664	28940	121	19	-2	-23417	-657	-639	2
188029	304638	28942	129	14	-10	-22441	-853	19	2
188060	304607	28944	113	35	-12	-22569	-1029	187	2
188092	304574	28944	113	18	9	-22023	-1162	344	2
188123	304543	28944	104	30	-4	-22006	-1087	438	2
188205	304474	28943	103	16	-6	-22002	-722	319	2
188237	304453	28944	105	24	6	-20716	-362	89	2
188269	304433	28944	97	25	-7	-20238	-295	10	2
188300	304401	28945	91	23	-12	-20583	-415	47	2
188332	304392	28943	93	22	-8	-20692	-721	149	2
188364	304359	28944	83	21	-9	-20469	-811	212	2
188395	304324	28945	91	17	-5	-19773	-1027	302	2
188427	304290	28944	75	19	-12	-19087	-908	229	3
188458	304274	28945	82	21	0	-18650	-835	334	3
188490	304247	28944	82	16	-1	-18516	-629	546	3
188522	304226	28945	78	13	-10	-18808	-673	792	3
188553	304194	28944	74	17	2	-17528	-246	542	3
188585	304175	28944	82	26	-3	-18033	-34	70	3
188617	304138	28944	78	28	-3	-18410	32	-194	3
188648	304129	28944	62	16	2	-18143	386	-181	3
188680	304122	28944	63	14	-12	-18089	411	13	3
188711	304113	28940	61	12	-11	-17655	114	289	3
188743	304077	28940	61	12	0	-16856	78	104	3
188775	304062	28942	78	-4	2	-16996	137	81	3
188806	304037	28940	69	5	1	-17241	-129	-567	3
188838	304011	28938	60	7	-4	-17284	10	-718	3
188870	303994	28938	58	17	-8	-17234	-124	-1153	3
188901	303986	28939	60	17	-2	-17054	-133	-1338	3
188933	303969	28939	57	0	3	-17479	-79	-1158	3
188964	303943	28942	57	7	0	-16896	-327	-884	3
188996	303940	28940	57	5	-9	-16619	-662	-634	3
189028	303907	28942	53	8	-3	-15899	-1005	-363	3
189059	303894	28942	54	12	-2	-15216	-1226	-16	3
189091	303860	28944	50	0	8	-15148	-1414	144	3
189123	303849	28942	51	11	-2	-14477	-1177	200	3
189154	303829	28946	47	14	0	-14437	-931	217	3
189186	303820	28944	48	11	4	-13921	-923	111	3
189217	303795	28945	54	2	-2	-13899	-586	209	3
189249	303781	28944	43	16	-6	-13802	-390	326	3
189281	303761	28946	48	9	-2	-13903	-126	411	3
189312	303754	28946	47	11	6	-13721	36	674	3
189344	303736	28944	37	16	2	-14238	57	639	3
189376	303730	28944	41	7	4	-14587	-197	876	3
189407	303717	28945	44	4	-3	-13560	-261	724	3
189439	303695	28945	42	13	5	-14354	-605	551	3
189471	303684	28944	42	7	0	-13927	-774	230	3
189502	303669	28944	40	8	1	-13165	-970	189	3
189534	303653	28945	35	5	-3	-12371	-992	-51	3
189565	303644	28944	41	2	2	-11729	-933	-174	3
189597	303628	28944	34	6	-2	-11729	-932	-254	3
189629	303628	28944	28	9	1	-11840	-705	-512	3
189660	303613	28945	34	10	9	-11577	-550	-532	3
189692	303601	28944	33	4	4	-11336	-313	-676	3
189724	303590	28946	33	0	-2	-11042	-134	-750	3
189755	303579	28946	26	11	2	-10743	58	-707	3
189787	303573	28945	32	10	6	-10333	195	-735	3
189818	303557	28945	33	7	4	-10276	204	-727	3
189850	303551	28945	23	6	-3	-9955	224	-457	3
189882	303543	28945	30	3	-2	-9542	226	-443	3
189913	303548	28943	26	0	2	-9108	-33	-151	3
190027	303499	28940	23	7	-3	-8844	-159	-57	3
190059	303486	28942	27	6	4	-8957	-50	-511	3
190091	303487	28944	24	10	-2	-8659	202	-735	3
190123	303478	28944	25	5	4	-8165	536	-837	3
