BMP180: ac1=  7165, ac2= -1052, ac3=-14491, b1=  6515, b2=    36, mb=-32768, mc=-11786, md=  2719, ac4=33785, ac5=25165, ac6=17901
t, p, T, ax, ay, az, arx, ary, arz, gx, gy, gz, mx, my, mz, fs
      3984,         -1,  32767,    193,  -1264, -2021,  -977, -1048,  -1057,    540,  -5063,   2741,    997,   4077,   3865, 0
      3985,         -1,  32767,    186,  -1264, -2008,  -980, -1052,  -1060,    531,  -5040,   2731,    997,   4077,   3865, 0
      3986,         -1,  32767,    191,  -1258, -2005,  -982, -1055,  -1063,    520,  -5022,   2728,    997,   4077,   3865, 0
      3986,         -1,  32767,    191,  -1258, -2005,  -983, -1056,  -1065,    501,  -4998,   2719,    997,   4077,   3865, 0
      3987,         -1,  32767,    184,  -1259, -2027,  -987, -1061,  -1068,    487,  -4974,   2707,    997,   4077,   3865, 0
      3987,         -1,  32767,    184,  -1259, -2027,  -987, -1061,  -1069,    477,  -4956,   2696,    997,   4077,   3865, 0
      3988,         -1,  32767,    183,  -1266, -2012,  -988, -1055,  -1053,    458,  -4940,   2680,    997,   4077,   3865, 0
      3989,         -1,  32767,    172,  -1270, -2016,  -966, -1038,  -1048,    443,  -4921,   2664,    997,   4077,   3865, 0
      3989,         -1,  32767,    172,  -1270, -2016,  -968, -1041,  -1049,    432,  -4904,   2653,   1142,   4072,   3927, 0
      3990,         -1,  32767,    179,  -1260, -2028,  -973, -1045,  -1055,    421,  -4883,   2646,   1142,   4072,   3927, 0
      3991,         -1,  32767,    177,  -1257, -2037,  -963, -1041,  -1050,    413,  -4860,   2633,   1142,   4072,   3927, 0
      3991,         -1,  32767,    177,  -1257, -2037,  -972, -1045,  -1054,    402,  -4840,   2621,   1142,   4072,   3927, 0
      3992,         -1,  32767,    180,  -1264, -2034,  -976, -1047,  -1057,    394,  -4824,   2611,   1142,   4072,   3927, 0
      3992,         -1,  32767,    180,  -1264, -2034,  -981, -1052,  -1062,    383,  -4809,   2599,   1142,   4072,   3927, 0
      3993,         -1,  32767,    171,  -1255, -2029,  -982, -1055,  -1062,    375,  -4794,   2591,   1142,   4072,   3927, 0
      3993,         -1,  32767,    171,  -1255, -2029,  -984, -1057,  -1065,    372,  -4788,   2585,   1142,   4072,   3927, 0
      3994,         -1,  32767,    181,  -1258, -2041,  -985, -1058,  -1067,    364,  -4778,   2575,   1142,   4072,   3927, 0
      3995,         -1,  32767,    170,  -1252, -2035,  -988, -1062,  -1070,    353,  -4760,   2568,   1142,   4072,   3927, 0
      3995,         -1,  32767,    170,  -1252, -2035,  -989, -1060,  -1060,    347,  -4749,   2562,   1142,   4072,   3927, 0
      3996,         -1,  32767,    167,  -1256, -2015,  -973, -1039,  -1049,    341,  -4738,   2549,   1142,   4072,   3927, 0
      3996,         -1,  32767,    167,  -1256, -2015,  -968, -1040,  -1049,    333,  -4729,   2541,   1142,   4072,   3927, 0
      3997,         -1,  32767,    153,  -1266, -2016,  -973, -1045,  -1055,    322,  -4721,   2533,   1142,   4072,   3927, 0
      3998,         -1,  32767,    154,  -1276, -2019,  -981, -1052,  -1062,    316,  -4709,   2527,   1142,   4072,   3927, 0
      3998,         -1,  32767,    154,  -1276, -2019,  -986, -1059,  -1067,    309,  -4701,   2514,   1142,   4072,   3927, 0
      3999,         -1,  32767,    141,  -1274, -2015,  -987, -1061,  -1069,    303,  -4691,   2503,   1142,   4072,   3927, 0
      3999,         -1,  32767,    141,  -1274, -2015,  -990, -1061,  -1061,    305,  -4677,   2494,   1122,   4020,   3900, 0
      4000,     334614,  25606,    145,  -1278, -1998,  -972, -1038,  -1048,    309,  -4657,   2482,   1122,   4020,   3900, 0
      4001,         -1,  32767,    140,  -1276, -2004,  -986, -1061,  -1063,    308,  -4640,   2474,   1122,   4020,   3900, 0
      4002,     334601,  32767,    132,  -1270, -2001,  -979, -1055,  -1063,    307,  -4629,   2463,   1122,   4020,   3900, 0
      4002,         -1,  32767,    132,  -1270, -2001,  -985, -1057,  -1066,    304,  -4618,   2456,   1122,   4020,   3900, 0
      4003,         -1,  32767,    112,  -1284, -2004,  -986, -1060,  -1068,    298,  -4600,   2445,   1122,   4020,   3900, 0
      4003,         -1,  32767,    112,  -1284, -2004,  -989, -1062,  -1069,    292,  -4591,   2436,   1122,   4020,   3900, 0
      4004,         -1,  32767,    113,  -1294, -1996,  -990, -1060,  -1060,    284,  -4576,   2424,   1122,   4020,   3900, 0
      4004,         -1,  32767,    124,  -1291, -1974,  -972, -1038,  -1048,    282,  -4562,   2417,   1122,   4020,   3900, 0
      4005,         -1,  32767,    124,  -1291, -1974,  -968, -1041,  -1051,    283,  -4552,   2411,   1122,   4020,   3900, 0
      4006,         -1,  32767,    113,  -1298, -1975,  -972, -1044,  -1054,    281,  -4542,   2405,   1122,   4020,   3900, 0
      4006,         -1,  32767,    113,  -1298, -1975,  -977, -1048,  -1058,    280,  -4535,   2394,   1122,   4020,   3900, 0
      4007,         -1,  32767,    115,  -1294, -1975,  -981, -1052,  -1061,    278,  -4524,   2383,   1122,   4020,   3900, 0
      4007,         -1,  32767,     97,  -1286, -1976,  -982, -1054,  -1063,    268,  -4518,   2375,   1122,   4020,   3900, 0
      4008,         -1,  32767,     97,  -1286, -1976,  -986, -1059,  -1067,    252,  -4512,   2371,   1122,   4020,   3900, 0
      4009,         -1,  32767,     95,  -1268, -1976,  -987, -1059,  -1068,    246,  -4506,   2371,   1122,   4020,   3900, 0
      4009,         -1,  32767,     95,  -1268, -1976,  -990, -1062,  -1070,    243,  -4505,   2372,   1160,   4067,   3730, 0
      4010,         -1,  32767,     99,  -1272, -1965,  -988, -1053,  -1052,    243,  -4509,   2364,   1160,   4067,   3730, 0
      4011,         -1,  32767,     93,  -1262, -1936,  -986, -1062,  -1070,    235,  -4503,   2355,   1160,   4067,   3730, 0
      4011,         -1,  32767,     93,  -1262, -1936,  -990, -1061,  -1061,    226,  -4495,   2348,   1160,   4067,   3730, 0
      4012,         -1,  32767,     79,  -1258, -1955,  -976, -1039,  -1049,    214,  -4487,   2342,   1160,   4067,   3730, 0
      4012,         -1,  32767,     60,  -1256, -1954,  -968, -1040,  -1049,    199,  -4483,   2341,   1160,   4067,   3730, 0
      4013,         -1,  32767,     60,  -1256, -1954,  -973, -1044,  -1054,    181,  -4480,   2346,   1160,   4067,   3730, 0
      4013,         -1,  32767,     54,  -1251, -1957,  -977, -1048,  -1056,    169,  -4480,   2347,   1160,   4067,   3730, 0
      4014,         -1,  32767,     54,  -1251, -1957,  -980, -1050,  -1060,    161,  -4475,   2350,   1160,   4067,   3730, 0
      4015,         -1,  32767,     59,  -1234, -1942,  -982, -1053,  -1062,    161,  -4471,   2351,   1160,   4067,   3730, 0
      4015,         -1,  32767,     59,  -1234, -1942,  -986, -1057,  -1065,    162,  -4473,   2352,   1160,   4067,   3730, 0
      4016,         -1,  32767,     66,  -1231, -1925,  -986, -1058,  -1067,    161,  -4481,   2357,   1160,   4067,   3730, 0
      4016,         -1,  32767,     58,  -1214, -1913,  -990, -1062,  -1069,    159,  -4488,   2364,   1160,   4067,   3730, 0
      4017,         -1,  32767,     58,  -1214, -1913,  -991, -1062,  -1065,    158,  -4492,   2367,   1160,   4067,   3730, 0
      4018,         -1,  32767,     58,  -1211, -1899,  -981, -1044,  -1047,    157,  -4494,   2372,   1160,   4067,   3730, 0
      4018,         -1,  32767,     58,  -1211, -1899,  -968, -1041,  -1050,    160,  -4494,   2379,   1160,   4067,   3730, 0
      4019,         -1,  32767,     47,  -1214, -1887,  -971, -1042,  -1052,    156,  -4495,   2384,   1160,   4067,   3730, 0
      4020,         -1,  32767,     30,  -1194, -1880,  -977, -1048,  -1057,    155,  -4498,   2390,   1247,   4015,   3852, 0
      4020,         -1,  32767,     30,  -1194, -1880,  -980, -1050,  -1060,    155,  -4504,   2405,   1247,   4015,   3852, 0
      4021,         -1,  32767,     30,  -1185, -1863,  -970, -1047,  -1054,    150,  -4506,   2423,   1247,   4015,   3852, 0
      4021,         -1,  32767,     20,  -1186, -1853,  -980, -1049,  -1059,    150,  -4508,   2432,   1247,   4015,   3852, 0
      4022,         -1,  32767,     20,  -1186, -1853,  -982, -1053,  -1061,    151,  -4517,   2452,   1247,   4015,   3852, 0
      4022,         -1,  32767,     22,  -1184, -1835,  -984, -1056,  -1063,    161,  -4532,   2475,   1247,   4015,   3852, 0
      4023,         -1,  32767,     22,  -1184, -1835,  -987, -1059,  -1067,    170,  -4542,   2497,   1247,   4015,   3852, 0
      4024,         -1,  32767,      9,  -1170, -1832,  -988, -1060,  -1068,    179,  -4553,   2515,   1247,   4015,   3852, 0
      4024,         -1,  32767,      9,  -1161, -1826,  -991, -1063,  -1069,    194,  -4564,   2530,   1247,   4015,   3852, 0
      4025,         -1,  32767,      9,  -1161, -1826,  -990, -1055,  -1053,    211,  -4578,   2543,   1247,   4015,   3852, 0
      4025,         -1,  32767,      2,  -1138, -1834,  -967, -1039,  -1049,    224,  -4595,   2553,   1247,   4015,   3852, 0
      4026,     334609,  25606,      2,  -1138, -1834,  -970, -1042,  -1052,    238,  -4615,   2568,   1247,   4015,   3852, 0
      4027,         -1,  32767,      8,  -1142, -1830,  -975, -1045,  -1055,    257,  -4643,   2610,   1247,   4015,   3852, 0
      4027,         -1,  32767,     -2,  -1139, -1823,  -987, -1064,  -1069,    267,  -4658,   2644,   1247,   4015,   3852, 0
      4028,         -1,  32767,     -2,  -1139, -1823,  -985, -1048,  -1049,    276,  -4672,   2673,   1247,   4015,   3852, 0
      4029,         -1,  32767,    -18,  -1138, -1830,  -968, -1041,  -1049,    288,  -4690,   2700,   1247,   4015,   3852, 0
      4029,         -1,  32767,    -14,  -1135, -1807,  -971, -1042,  -1052,    302,  -4703,   2715,   1247,   4015,   3852, 0
      4030,         -1,  32767,    -14,  -1135, -1807,  -976, -1046,  -1056,    321,  -4727,   2742,   1245,   4030,   3837, 0
      4031,         -1,  32767,    -14,  -1132, -1793,  -979, -1049,  -1058,    334,  -4760,   2787,   1245,   4030,   3837, 0
      4031,         -1,  32767,    -34,  -1139, -1795,  -971, -1047,  -1054,    337,  -4775,   2810,   1245,   4030,   3837, 0
      4032,         -1,  32767,    -34,  -1139, -1795,  -979, -1048,  -1057,    343,  -4797,   2834,   1245,   4030,   3837, 0
      4032,         -1,  32767,    -41,  -1132, -1818,  -981, -1051,  -1060,    350,  -4809,   2860,   1245,   4030,   3837, 0
      4033,         -1,  32767,    -41,  -1132, -1818,  -983, -1054,  -1063,    354,  -4825,   2884,   1245,   4030,   3837, 0
      4033,         -1,  32767,    -56,  -1114, -1803,  -986, -1056,  -1065,    367,  -4841,   2919,   1245,   4030,   3837, 0
      4034,         -1,  32767,    -65,  -1116, -1810,  -988, -1059,  -1067,    380,  -4861,   2947,   1245,   4030,   3837, 0
      4035,         -1,  32767,    -65,  -1116, -1810,  -990, -1061,  -1069,    392,  -4880,   2977,   1245,   4030,   3837, 0
      4035,         -1,  32767,    -76,  -1119, -1822,  -991, -1062,  -1068,    400,  -4892,   3003,   1245,   4030,   3837, 0
      4036,         -1,  32767,    -76,  -1119, -1822,  -992, -1054,  -1053,    410,  -4910,   3036,   1245,   4030,   3837, 0
      4036,         -1,  32767,    -95,  -1124, -1815,  -968, -1039,  -1049,    415,  -4930,   3075,   1245,   4030,   3837, 0
      4037,         -1,  32767,    -95,  -1124, -1815,  -971, -1042,  -1052,    415,  -4946,   3106,   1245,   4030,   3837, 0
