BMP180: ac1=  7165, ac2= -1052, ac3=-14491, b1=  6515, b2=    36, mb=-32768, mc=-11786, md=  2719, ac4=33785, ac5=25165, ac6=17901
t, p, T, ax, ay, az, arx, ary, arz, gx, gy, gz, mx, my, mz, fs
      4794,         -1,  32767,  -1911,   -185,  -753, -1059, -1075,  -1074,   -521,    176,    216,   4480,   2032,    460, 0
      4794,         -1,  32767,  -1911,   -185,  -753, -1047, -1058,  -1058,   -536,    180,    219,   4480,   2032,    460, 0
      4795,         -1,  32767,  -1916,   -221,  -777, -1053, -1069,  -1070,   -556,    190,    215,   4480,   2032,    460, 0
      4795,         -1,  32767,  -1916,   -221,  -777, -1064, -1080,  -1077,   -584,    197,    205,   4480,   2032,    460, 0
      4796,         -1,  32767,  -1922,   -223,  -746, -1048, -1063,  -1064,   -608,    197,    195,   4480,   2032,    460, 0
      4797,         -1,  32767,  -1910,   -206,  -736, -1060, -1076,  -1075,   -631,    205,    190,   4480,   2032,    460, 0
      4797,         -1,  32767,  -1910,   -206,  -736, -1044, -1057,  -1059,   -638,    224,    193,   4480,   2032,    460, 0
      4798,      83148,  26028,  -1894,   -210,  -801, -1054, -1071,  -1071,   -647,    257,    209,   4480,   2032,    460, 0
      4799,         -1,  32767,  -1876,   -192,  -809, -1064, -1080,  -1079,   -662,    306,    238,   4480,   2032,    460, 0
      4799,         -1,  32767,  -1876,   -192,  -809, -1064, -1073,  -1065,   -689,    318,    260,   4480,   2032,    460, 0
      4800,         -1,  32767,  -1907,   -169,  -760, -1052, -1068,  -1068,   -713,    312,    272,   4480,   2032,    460, 0
      4800,         -1,  32767,  -1932,   -171,  -734, -1062, -1078,  -1077,   -737,    307,    282,   4480,   2032,    460, 0
      4801,         -1,  32767,  -1932,   -171,  -734, -1043, -1059,  -1060,   -740,    314,    284,   4480,   2032,    460, 0
      4802,         -1,  32767,  -1920,   -210,  -785, -1056, -1072,  -1072,   -734,    329,    282,   4460,   2150,    405, 0
      4802,         -1,  32767,  -1926,   -210,  -817, -1065, -1075,  -1065,   -716,    371,    271,   4460,   2150,    405, 0
      4803,         -1,  32767,  -1926,   -210,  -817, -1045, -1062,  -1063,   -714,    402,    254,   4460,   2150,    405, 0
      4804,         -1,  32767,  -1934,   -224,  -816, -1059, -1075,  -1074,   -713,    430,    232,   4460,   2150,    405, 0
      4804,         -1,  32767,  -1934,   -224,  -816, -1048, -1056,  -1057,   -702,    468,    197,   4460,   2150,    405, 0
      4805,         -1,  32767,  -1985,   -275,  -845, -1053, -1070,  -1070,   -697,    491,    165,   4460,   2150,    405, 0
      4805,         -1,  32767,  -1985,   -275,  -845, -1063, -1080,  -1079,   -692,    505,    139,   4460,   2150,    405, 0
      4806,      83147,  26028,  -2047,   -246,  -789, -1046, -1061,  -1062,   -689,    521,    121,   4460,   2150,    405, 0
      4807,         -1,  32767,  -2052,   -249,  -816, -1059, -1076,  -1075,   -705,    555,     91,   4460,   2150,    405, 0
      4807,         -1,  32767,  -2020,   -227,  -778, -1062, -1077,  -1078,   -739,    563,     87,   4460,   2150,    405, 0
      4808,         -1,  32767,  -2020,   -227,  -778, -1041, -1058,  -1059,   -808,    556,    101,   4460,   2150,    405, 0
      4809,         -1,  32767,  -1953,   -167,  -661, -1056, -1072,  -1072,   -884,    542,    127,   4460,   2150,    405, 0
      4809,         -1,  32767,  -1953,   -167,  -661, -1064, -1079,  -1072,   -928,    522,    146,   4460,   2150,    405, 0
      4810,         -1,  32767,  -1917,   -219,  -625, -1049, -1065,  -1067,   -936,    513,    154,   4460,   2150,    405, 0
      4810,         -1,  32767,  -1939,   -280,  -692, -1060, -1076,  -1076,   -919,    527,    161,   4460,   2150,    405, 0
      4811,         -1,  32767,  -1939,   -280,  -692, -1041, -1059,  -1060,   -895,    554,    170,   4460,   2150,    405, 0
      4812,         -1,  32767,  -1961,   -266,  -755, -1055, -1072,  -1072,   -883,    573,    186,   4497,   2137,    477, 0
      4812,         -1,  32767,  -1947,   -239,  -742, -1064, -1082,  -1076,   -898,    587,    227,   4497,   2137,    477, 0
      4813,         -1,  32767,  -1947,   -239,  -742, -1044, -1060,  -1062,   -957,    555,    280,   4497,   2137,    477, 0
      4814,      83143,  26028,  -1945,   -186,  -644, -1058, -1075,  -1074,  -1027,    508,    330,   4497,   2137,    477, 0
      4814,         -1,  32767,  -1919,   -157,  -537, -1057, -1064,  -1056,  -1150,    417,    408,   4497,   2137,    477, 0
      4815,         -1,  32767,  -1919,   -157,  -537, -1040, -1055,  -1059,  -1169,    392,    435,   4497,   2137,    477, 0
      4816,         -1,  32767,  -1933,   -257,  -622, -1056, -1072,  -1072,  -1145,    398,    447,   4497,   2137,    477, 0
      4816,         -1,  32767,  -1933,   -257,  -622, -1063, -1079,  -1078,  -1087,    440,    449,   4497,   2137,    477, 0
      4817,         -1,  32767,  -1955,   -294,  -756, -1049, -1065,  -1066,  -1083,    456,    474,   4497,   2137,    477, 0
      4817,         -1,  32767,  -2000,   -200,  -714, -1060, -1076,  -1075,  -1152,    422,    518,   4497,   2137,    477, 0
      4818,         -1,  32767,  -2000,   -200,  -714, -1040, -1057,  -1058,  -1211,    384,    557,   4497,   2137,    477, 0
      4818,         -1,  32767,  -1993,   -146,  -579, -1056, -1072,  -1072,  -1182,    418,    567,   4497,   2137,    477, 0
      4819,         -1,  32767,  -1993,   -146,  -579, -1064, -1080,  -1077,  -1044,    539,    537,   4497,   2137,    477, 0
      4820,         -1,  32767,  -2027,   -418,  -939, -1049, -1065,  -1066,   -897,    678,    491,   4497,   2137,    477, 0
      4820,         -1,  32767,  -2002,   -392, -1013, -1061, -1077,  -1076,   -752,    842,    438,   4497,   2137,    477, 0
      4821,         -1,  32767,  -2002,   -392, -1013, -1040, -1057,  -1058,   -683,    949,    415,   4497,   2137,    477, 0
      4821,         -1,  32767,  -1978,   -258,  -887, -1055, -1072,  -1072,   -676,    980,    419,   4497,   2137,    477, 0
      4823,      83147,  26028,  -1978,   -258,  -887, -1064, -1081,  -1075,   -711,    982,    443,   4572,   2095,    535, 0
      4823,         -1,  32767,  -1934,   -243,  -778, -1049, -1065,  -1067,   -794,    944,    484,   4572,   2095,    535, 0
      4824,         -1,  32767,  -1890,   -264,  -689, -1047, -1064,  -1065,   -844,    902,    513,   4572,   2095,    535, 0
