BMP180: ac1=  7165, ac2= -1052, ac3=-14491, b1=  6515, b2=    36, mb=-32768, mc=-11786, md=  2719, ac4=33785, ac5=25165, ac6=17901
t, p, T, ax, ay, az, arx, ary, arz, gx, gy, gz, mx, my, mz, fs
      2593,         -1,  32767,  -1427,   -320, -1667, -1049, -1070,  -1071,    903,    192,   1633,   3762,   3050,   2425, 0
      2593,         -1,  32767,  -1456,   -309, -1617, -1055, -1076,  -1076,    950,    191,   1713,   3762,   3050,   2425, 0
      2594,         -1,  32767,  -1456,   -309, -1617, -1057, -1078,  -1078,    985,    191,   1779,   3762,   3050,   2425, 0
      2594,         -1,  32767,  -1519,   -263, -1663, -1033, -1056,  -1058,   1018,    191,   1852,   3762,   3050,   2425, 0
      2595,     334373,  25667,  -1519,   -263, -1663, -1046, -1067,  -1068,   1045,    193,   1909,   3762,   3050,   2425, 0
      2596,         -1,  32767,  -1428,   -235, -1637, -1054, -1075,  -1074,   1068,    188,   2030,   3762,   3050,   2425, 0
      2596,         -1,  32767,  -1363,   -161, -1620, -1049, -1072,  -1072,   1129,    195,   2106,   3762,   3050,   2425, 0
      2597,         -1,  32767,  -1363,   -161, -1620, -1056, -1078,  -1077,   1293,    240,   2114,   3762,   3050,   2425, 0
      2597,         -1,  32767,  -1623,   -472, -1801, -1033, -1057,  -1058,   1487,    266,   2059,   3762,   3050,   2425, 0
      2598,         -1,  32767,  -1720,   -865, -1751, -1045, -1065,  -1067,   1602,    234,   1988,   3762,   3050,   2425, 0
      2599,         -1,  32767,  -1720,   -865, -1751, -1053, -1074,  -1074,   1610,    163,   1955,   3762,   3050,   2425, 0
      2599,         -1,  32767,  -1557,   -570, -1384, -1057, -1078,  -1072,   1569,     70,   1948,   3762,   3050,   2425, 0
      2600,         -1,  32767,  -1557,   -570, -1384, -1036, -1057,  -1059,   1506,     14,   1977,   3762,   3050,   2425, 0
      2600,         -1,  32767,  -1594,   -431, -1472, -1047, -1068,  -1069,   1445,     22,   2010,   3762,   3050,   2425, 0
      2601,         -1,  32767,  -1561,   -389, -1747, -1054, -1076,  -1077,   1390,     61,   2046,   3762,   3050,   2425, 0
      2602,         -1,  32767,  -1561,   -389, -1747, -1056, -1070,  -1060,   1363,    123,   2093,   3762,   3050,   2425, 0
      2602,         -1,  32767,  -1417,   -318, -1735, -1040, -1060,  -1062,   1387,    159,   2168,   3710,   2990,   2405, 0
      2603,         -1,  32767,  -1462,   -208, -1601, -1049, -1071,  -1072,   1479,    167,   2280,   3710,   2990,   2405, 0
      2604,         -1,  32767,  -1462,   -208, -1601, -1052, -1074,  -1075,   1582,    165,   2387,   3710,   2990,   2405, 0
